"","Locality","Country","State_Province","County","Latitude","Longitude"
"6","1.4 km SSE Barnes Gap Sideling Hill Barrens","United States","Pennsylvania","Fulton",39.73277,78.34694
"46","Pittsburhg, Nine Mile Run, Duck Hollow","United States","Pennsylvania","Allegheny",40.41722,79.91583
"48","4.7 km SSW Galeton","United States","Pennsylvania","Potter",41.69167,77.65472
"65","Forward Township","United States","Pennsylvania","Allegheny",40.20667,79.85778
"158","Sewickley Heights","United States","Pennsylvania","Allegheny",40.55722,80.14139
"159","2.9 km ESE Alexandria Neff Limestone Barrens","United States","Pennsylvania","Huntingdon",40.54277,78.06861
"173","Collier Township","United States","Pennsylvania","Allegheny",40.42111,80.14111
"408","4.7 km SE Long Pond, Bowers Gap Barrens","United States","Pennsylvania","Monroe",41.02083,75.4275
"450","Penn Twnsh","United States","Pennsylvania","Allegheny",40.38866,79.66158
"451","4.9 km SE Long Pond, Bowers Gap Barrens","United States","Pennsylvania","Monroe",41.01972,75.425
"456","4 km NE Ruff Creek, Moth Ridge","United States","Pennsylvania","Greene",39.59,80.09
"574","1.4 km SE Barnes Gap Sideling Hill Barrens","United States","Pennsylvania","Fulton",39.73361,78.34694
"607","State Game Lands 102, 3 mi NE Union City","United States","Pennsylvania","Erie",41.55,79.5
"612","Winter-Chubb Farm 4.2 km NW Confluence","United States","Pennsylvania","Somerset",39.51,79.22
"631","Pymatuning State Park, Blackjack Swamp Natural Area, 5.3 km NW Linesville","United States","Pennsylvania","Crawford",41.68667,80.50667
"717","2.0 km SE Barnes Gap Sideling Hill Barrens","United States","Pennsylvania","Fulton",39.73138,20.35
"796","4.0 km SSE Alexandria Neff Limestone Barrens","United States","Pennsylvania","Huntingdon",40.53278,78.07972
"874","7.7 km SSW Cherry Grove","United States","Pennsylvania","Warren",41.63194,79.18111
"1390","3.6 km WSW Long Pond, Long Pond Barrens","United States","Pennsylvania","Monroe",41.04028,75.5025
"1737","1 km SE Tamarack","United States","Pennsylvania","Clinton",41.41916,77.83611
"2020","Pittsburgh, Nine Mile Run","United States","Pennsylvania","Allegheny",79.90833,-79.90917
"2040","5.1 km SW Rector, Powdermill Nature Reserve, Ravens Roost","United States","Pennsylvania","Westmoreland",40.15916,79.27388
"2071","2.0 km SE Barnes Gap Sideling Hill Barrens","United States","Pennsylvania","Fulton",39.73083,78.33888
"2154","4 km NE Ruff Creek, Moth Ridge","United States","Pennsylvania","Greene",39.98722,80.14916
"2229","1.9 mi WNW of Pulaski","United States","Pennsylvania","Lawrence",41.11972,80.47083
"2522","3.2 km SE Alexandria, Neff Limstone Barrens","United States","Pennsylvania","Huntingdon",40.53388,78.07361
"2536","1.8 km NNE Oakdale, Stettlers Cabin Co. Park","United States","Pennsylvania","Allegheny",40.41388,80.18
"2695","Pymatuning State Park, Blackjack Swamp Natural Area, 5.0 km NW Linesville","United States","Pennsylvania","Crawford",41.68583,80.50194
"2717","3.7 km SW Cooksburg, Clarion River","United States","Pennsylvania","Clarion",41.31055,79.24444
"3230","7.3 km SSW Cherry Grove","United States","Pennsylvania","Warren",41.63638,79.18111
"3453","2.2 km NW Truemans","United States","Pennsylvania","Warren",41.6325,79.15306
"4108","8.6 km S Irvine, Hedgehog Run","United States","Pennsylvania","Warren",41.76194,79.26167
"4186","3.7 km WSW Long Pond, Long Pond Barrens","United States","Pennsylvania","Monroe",41.03777,75.50222
"4411","Nine Mile Run, Duck Hollow","United States","Pennsylvania","Allegheny",40.41722,79.91583
"4422","1.7 km SE Cooksburg, Clarion River, Cook Forest St. Park","United States","Pennsylvania","Forest",41.32527,79.19055
"4475","Pymatuning State Park, Blackjack Swamp Natural Area, 4.8 km NW Linesville","United States","Pennsylvania","Crawford",41.68306,80.5025
"4814","2.9 km SW Antes, Moshannon State Forest","United States","Pennsylvania","Centre",40.9,78.08583
"4958","4.3 km SSW Marysville, State Game Lands 176, Scotia Barrens","United States","Pennsylvania","Centre",40.76222,77.96972
"4986","3.9 km SW Antes, Moshannon State Forest","United States","Pennsylvania","Centre",40.88805,78.08777
"5112","5.2 km SE Long Pond, Bowers Gap Barrens","United States","Pennsylvania","Monroe",41.01833,75.42222
"5191","Pymatuning State Park, Blackjack Swamp Natural Area, 5.5 km NW Linesville","United States","Pennsylvania","Crawford",41.68722,80.50917
"1","Palen Dunes","United States","California","Riverside",32.78306,-114.79639
"3","Irvine, San Joaquin fresh Water Marsh Reserve","United States","California","None",33.65833,117.85833
"12","5.4 mi NW of Ocotillo on Rt S2","United States","California","Imperial",32.79381,-116.05899
"15","4 mi NW of Ocotillo Wells","United States","California","Imperial",32.75494,-116.05288
"24","San Ysidro, T18S R2W Sec 36","United States","California","San Diego",32.55816,-117.03515
"36","Pilot Knob Mesa, T16S R20E Sec 23","United States","California","Imperial",32.75815,-114.83448
"40","Near Signal Mountain","United States","California","Imperial",32.67882,-115.62736
"59","Ocotillo, T16S R9E S18","United States","California","Imperial",32.7796,-116.09125
"79","North End Dam, Calipatria","United States","California","Imperial",32.1026,-115.54365
"82","Potrero","United States","California","San Diego",32.3617,-116.3647
"87","Descanso","United States","California","San Diego",32.511,-116.3657
"103","Jacumba","United States","California","San Diego",32.6175,-116.18889
"107","Indian Pass Wilderness","United States","California","Imperial",33.08083,-114.77444
"112","Anza-Borrego Desert State Park, Carrizo Creek, 10.2 mi NW of Ocotillo on Rt S2","United States","California","San Diego",32.81889,-116.14844
"129","Boulevard, T17S, R7E, S28","United States","California","San Diego",32.66101,-116.26881
"164","Grays Well Road,14 mi W of Winterhaven","United States","California","Imperial",32.74037,-114.88358
"190","Boulevard","United States","California","San Diego",32.66367,-116.27362
"197","Mt. Barrow","United States","California","Imperial",33.15004,-114.94524
"212","1 km N of Cave Point","United States","California","Contra Costa",37.84889,121.88694
"233","Holtville 13 mi E.","United States","California","Imperial",32.81091,-115.15498
"237","Imperial Valley","United States","California","Imperial",32.4415,-114.5748
"250","Andrade","United States","California","Imperial",32.72583,-114.72583
"275","Potrero","United States","California","San Diego",32.60472,-116.61222
"287","7 mi SE of Glamis","United States","California","Imperial",32.92565,-114.98547
"318","Banner Road, 0.3 mi S of Railroad Flat Road","United States","California","Calaveras",37.42303,120.48707
"321","Lake Skinner, N. (MET U4) Unburned","United States","California","Riverside",33.60111,117.03833
"333","Mountain Springs","United States","California","Imperial",32.67478,-116.10557
"399","7 mi NW of Ocotillo","United States","California","Imperial",32.7835,-116.09666
"409","Niland T11S, R15E, S9","United States","California","Imperial",33.004,-115.00867
"429","Palm Canyon wash","United States","California","Imperial",32.76833,-116.10027
"438","Algodones Dunes, 7 mi.SE Glamis","United States","California","Imperial",32.92565,-114.98547
"447","Old Hwy. 8, 23 mi. E Holtville dunes","United States","California","Imperial",32.81048,-114.98232
"452","San Ysidro","United States","California","San Diego",32.55617,-117.03758
"488","Blue Lake","United States","California","Humboldt",40.88306,123.98278
"505","Lake Skinner (NE) ca. MET U11 (Unburned)","United States","California","Riverside",33.60194,117.03472
"544","Barrett Junction T18S, R3E, S8","United States","California","San Diego",32.6186,-116.69932
"648","Algodones Dunes, Southern Closure, 3.2 km W. Buttercup Cmpq.","United States","California","Imperial",32.725,-114.90833
"687","Jacumba, 20 miles west of","United States","California","San Diego",32.61703,-116.53347
"709","Boulevard","United States","California","San Diego",32.66361,-116.27278
"739","30 mi W of El Centro","United States","California","Imperial",32.72845,-116.06246
"746","12mi SE of Dulzura, Rt 94","United States","California","San Diego",32.60831,-116.62658
"773","Arroyo Seco","United States","California","Los Angeles",34.26944,118.10528
"806","Black Mountain","United States","California","Imperial",33.0548,-114.82833
"868","Barrett Junction","United States","California","San Diego",32.61139,-116.70639
"869","T18S R8E S7; Jacumba","United States","California","San Diego",32.61837,-116.20053
"888","16 mi E of Calexico","United States","California","Imperial",32.67859,-115.2222
"948","Ocean Beach","United States","California","San Diego",32.444,-117.1543
"949","8.2 mi E of Dulzura on Rt 94 at mp 36.50","United States","California","San Diego",32.60072,-116.64061
"980","Burns Pinon Ridge Reserve","United States","California","San Bernardino",34.14917,116.45306
"1002","UC Sedgwick Reserve, Lisque Canyon gate at Figueroa Mountain Road","United States","California","Santa Barbara",34.73917,120.0574
"1085","Alpine; T15S, R2E, S28","United States","California","San Diego",32.01415,-116.01263
"1146","Hauser Canyon, Morena Dam","United States","California","San Diego",32.68194,-116.62444
"1182","Goodale Creek","United States","California","Inyo",36.98611,118.25
"1197","17.1 mi N Ogilby","United States","California","Imperial",33.06508,-114.83806
"1200","Tumco; T14S R20E S34","United States","California","Imperial",32.9033,-114.85616
"1244","Sec. 32 R.1E. T.7S. Site 2; 5.6 mi. S. Sage on R3","United States","California","Riverside",33.51667,116.9
"1295","Colorado Desert","United States","California","Imperial",32.91302,-114.83264
"1369","Bautista Road at Tripp Flats Road","United States","California","Riverside",33.60433,116.73883
"1389","El Cajon; T16S, R1W, S10","United States","California","San Diego",32.01333,-117
"1465","Menifee Vly. (hills on W end)","United States","California","Riverside",33.31667,117.21667
"1529","Frank Raines Regional Park, above Ranger Station","United States","California","Stanislaus",37.4216,121.37833
"1543","Boulovard","United States","California","San Diego",32.66361,-116.27278
"1560","Indian Wash, 13 mi S of Hwy 78 on Ogilby Rd","United States","California","Imperial",32.86361,-114.98055
"1595","Lake Skinner, NE, (MET B4), ca.","United States","California","Riverside",33.60083,117.03722
"1611","Ogilby","United States","California","Imperial",32.81694,-114.83806
"1612","Carmel Point","United States","California","Monterey",36.54307,121.93281
"1637","15 mi E of Calexico","United States","California","Imperial",32.67863,-115.23944
"1658","Imperial Hwy; T16S R9E S18","United States","California","Imperial",32.77676,-116.08724
"1758","Tecate","United States","California","San Diego",32.57728,-116.62751
"1797","El Centro","United States","California","Imperial",32.01278,-115.00937
"1815","Gordon's well","United States","California","Imperial",32.70918,-114.96705
"1950","Santa Rosa Plateau Ecol. Reserve","United States","California","Riverside",33.54778,117.23333
"2057","desert at R.R. stop below Mountain Springs","United States","California","San Diego",32.67668,-116.10026
"2089","about 30 mi SE of San Diego","United States","California","San Diego",32.57652,-116.65994
"2162","Indian Wash, 12 mi N of Interstate 8 on Ogilby Road","United States","California","Imperial",32.82734,-114.83726
"2170","I-8 & Rt 98, nr Ocotillo","United States","California","Imperial",32.72727,-116.01991
"2218","T18S R3E S8; Barrett Junction","United States","California","San Diego",32.6186,-116.69932
"2281","Pac. Cr. Tr. N. of Hwy. 74","United States","California","Riverside",33.55,116.56667
"2333","2 mi NE of Ogilby","United States","California","Imperial",32.83746,-114.81364
"2438","American Girl Wash T 15S, R 20E, S 13","United States","California","Imperial",32.81465,-114.90562
"2470","Ocotillo, T16S R9E S6","United States","California","Imperial",32.80308,-116.09854
"2519","T16S R9E S7; Coyote Wash","United States","California","Imperial",32.79088,-116.08737
"2553","Jacumba Interstate 8","United States","California","San Diego",32.3703,-116.1123
"2566","25 mi SE of San Diego, Campo Road","United States","California","San Diego",32.60158,-116.64332
"2567","San Bernardino Nat. Forest 1 mi. N. Big Bear Lake Van Dusen Canyon Rd.","United States","California","San Bernardino",34.26667,116.85
"2722","Jacumba T18S, R8E,S7","United States","California","San Diego",32.61837,-116.20053
"2746","Calipatria; T12S. R14E, S15","United States","California","Imperial",33.00217,-115.0085
"2818","Lake Skinner, NE, (MET B11), ca.","United States","California","Riverside",33.60028,117.03278
"2828","Clark Mts. (W. end)","United States","California","San Bernardino",35.52917,115.6375
"2844","Jacumbra","United States","California","San Diego",32.6175,-116.18889
"2845","Poway","United States","California","San Diego",32.5746,-117.0209
"2987","R6E T6S; Des. Res. Center Sec. 17","United States","California","Riverside",33.63861,116.37638
"3007","Algodones Dunes","United States","California","Imperial",33.06231,115.75278
"3189","6.4 mi. N. Glamis","United States","California","Imperial",32.5951,-115.0419
"3354","4 mi W Coyote Wells","United States","California","Imperial",32.73859,-116.0356
"3371","Granite Mtn. Reserve, Granite Cove","United States","California","San Bernardino",34.8,115.65
"3436","Pasadena, Arroyo Seco","United States","California","Los Angeles",34.26944,118.10528
"3463","Bonds Corner","United States","California","Imperial",32.69361,-115.33639
"3500","W of Jacumba","United States","California","San Diego",32.62333,-116.19068
"3672","Laguna, Manzanita","United States","California","San Diego",32.66889,-116.28889
"3733","Otay Mesa","United States","California","San Diego",32.55942,-116.97338
"3747","0.3 km N of Cave Point","United States","California","Contra Costa",37.84389,121.88083
"3802","Tecate Peak","United States","California","San Diego",32.57951,-116.6889
"3921","Algodones Dunes, 3.5 mi SE Glamis","United States","California","Imperial",32.96158,-115.02829
"3935","Glamis Sand Dunes, 5 mi. W. Ogilby","United States","California","Imperial",32.81691,-114.92439
"4128","Algodones Dunes S. Ruthven","United States","California","Imperial",32.59166,-114.99277
"4173","Granite Mtn. Reserve","United States","California","San Bernardino",34.8,115.65
"4287","3 mi. NE Glamis","United States","California","Imperial",33.02828,-115.0344
"4353","10 mi E of Glamis","United States","California","Imperial",32.997,-114.898
"4393","Palm Canyon Wash","United States","California","Imperial",32.76856,-116.10045
"4697","near Boulevard","United States","California","San Diego",32.66361,-116.27278
"4784","Red Rock Canyon State Park","United States","California","Kern",35.38333,118
"4943","Granite Mtn. Reserve, Granite Cove, ca.","United States","California","San Bernardino",34.8,115.65
"5110","Calistoga, Stonegate vineyard","United States","California","Napa",38.566,122.5566
"5260","14 mi N of Dos Palos","United States","California","Merced",37.18908,37.18908
"5282","Alpine","United States","California","San Diego",32.5006,-116.4559
"5328","Sec. 32 T.7S., R.1E. Site 2, 5.6 mi. of S. Sage on R3,","United States","California","Riverside",33.42183,116.9
"5460","Boulevard-Manzanita","United States","California","San Diego",32.3949,-116.1625
"5539","4mi NW Jacumba","United States","California","San Diego",32.65854,-116.23762
"5574","4 mi W of Calexico at New River, site 1","United States","California","Imperial",32.67887,-115.56702
"5739","Hull Road, 2.6 road mi W of County Road 305, Mendocino National Forest","United States","California","Glenn",39.71172,122.58197
